n	density	trial	time_sec
60	50	13	0.017923
60	50	14	0.021288
60	50	15	0.021629
60	50	16	0.022697
60	50	17	0.019278
60	50	18	0.019491
60	50	19	0.016970
60	50	20	0.014644
80	50	1	0.035550
80	50	2	0.040962
80	50	3	0.046350
80	50	4	0.042151
80	50	5	0.039836
80	50	6	0.042126
80	50	7	0.045245
80	50	8	0.043456
80	50	9	0.037742
80	50	10	0.037489
80	50	11	0.036959
80	50	12	0.042094
80	50	13	0.043431
80	50	14	0.042052
80	50	15	0.038605
80	50	16	0.035869
80	50	17	0.041797
80	50	18	0.042197
80	50	19	0.037740
80	50	20	0.036513
100	50	1	0.073964
100	50	2	0.082314
100	50	3	0.069907
100	50	4	0.076273
100	50	5	0.079074
100	50	6	0.078536
100	50	7	0.075906
100	50	8	0.071314
100	50	9	0.074706
100	50	10	0.078339
100	50	11	0.075663
100	50	12	0.072921
100	50	13	0.079387
100	50	14	0.070384
100	50	15	0.082363
100	50	16	0.080597
100	50	17	0.068858
100	50	18	0.073815
100	50	19	0.078221
100	50	20	0.074118
120	50	1	0.127045
120	50	2	0.126155
120	50	3	0.134840
120	50	4	0.120900
120	50	5	0.127331
120	50	6	0.122993
120	50	7	0.135657
120	50	8	0.125577
120	50	9	0.137029
120	50	10	0.142961
120	50	11	0.128240
120	50	12	0.122766
120	50	13	0.123486
120	50	14	0.122786
120	50	15	0.128907
120	50	16	0.127641
120	50	17	0.128518
120	50	18	0.122123
120	50	19	0.126790
120	50	20	0.124018
140	50	1	0.204126
140	50	2	0.201121
140	50	3	0.195860
140	50	4	0.190946
140	50	5	0.188993
140	50	6	0.192288
140	50	7	0.192459
140	50	8	0.198752
140	50	9	0.189244
140	50	10	0.198986
140	50	11	0.202809
140	50	12	0.219458
140	50	13	0.212577
140	50	14	0.187007
140	50	15	0.196600
140	50	16	0.211069
140	50	17	0.190503
140	50	18	0.209136
140	50	19	0.189146
140	50	20	0.196732
160	50	1	0.293862
160	50	2	0.301134
160	50	3	0.293182
160	50	4	0.292574
160	50	5	0.288191
160	50	6	0.285322
160	50	7	0.289677
160	50	8	0.290162
160	50	9	0.302403
160	50	10	0.330228
160	50	11	0.331451
160	50	12	0.306011
160	50	13	0.313861
160	50	14	0.298834
160	50	15	0.306091
160	50	16	0.308089
160	50	17	0.298498
160	50	18	0.316572
160	50	19	0.296301
160	50	20	0.295651
180	50	1	0.456980
180	50	2	0.442160
180	50	3	0.450659
180	50	4	0.411541
180	50	5	0.433698
180	50	6	0.435642
180	50	7	0.417078
180	50	8	0.436795
180	50	9	0.442749
180	50	10	0.441618
180	50	11	0.411944
180	50	12	0.419907
180	50	13	0.424921
180	50	14	0.409699
180	50	15	0.407633
180	50	16	0.427062
180	50	17	0.417951
180	50	18	0.447393
180	50	19	0.449573
180	50	20	0.441704
200	50	1	0.601283
200	50	2	0.575084
200	50	3	0.605623
200	50	4	0.569559
200	50	5	0.558697
200	50	6	0.565734
200	50	7	0.572698
200	50	8	0.590564
200	50	9	0.572908
200	50	10	0.570676
200	50	11	0.580952
200	50	12	0.599216
200	50	13	0.566011
200	50	14	0.568544
200	50	15	0.551121
200	50	16	0.570920
200	50	17	0.560516
200	50	18	0.574582
200	50	19	0.553018
200	50	20	0.565214
20	70	1	0.000669
20	70	2	0.000626
20	70	3	0.000636
20	70	4	0.000719
20	70	5	0.000598
20	70	6	0.000643
20	70	7	0.000635
20	70	8	0.000659
20	70	9	0.000626
20	70	10	0.000622
20	70	11	0.000645
20	70	12	0.000628
20	70	13	0.000673
20	70	14	0.000654
20	70	15	0.000641
20	70	16	0.000580
20	70	17	0.000581
20	70	18	0.000625
20	70	19	0.000660
20	70	20	0.000614
40	70	1	0.005086
40	70	2	0.004667
40	70	3	0.004831
40	70	4	0.004953
40	70	5	0.004629
40	70	6	0.005922
40	70	7	0.005245
40	70	8	0.004510
40	70	9	0.004415
40	70	10	0.004805
40	70	11	0.005163
40	70	12	0.004980
40	70	13	0.005542
40	70	14	0.005476
40	70	15	0.005215
40	70	16	0.005263
40	70	17	0.004725
40	70	18	0.004800
40	70	19	0.004832
40	70	20	0.004626
60	70	1	0.015376
60	70	2	0.015245
60	70	3	0.017119
60	70	4	0.017996
60	70	5	0.019246
60	70	6	0.018317
60	70	7	0.017932
60	70	8	0.021378
60	70	9	0.015892
60	70	10	0.015338
60	70	11	0.015630
60	70	12	0.017235
60	70	13	0.015244
60	70	14	0.015557
60	70	15	0.019632
60	70	16	0.020426
60	70	17	0.018657
60	70	18	0.017929
60	70	19	0.017076
60	70	20	0.015819
80	70	1	0.035880
80	70	2	0.040511
80	70	3	0.038709
80	70	4	0.037356
80	70	5	0.035164
80	70	6	0.038814
80	70	7	0.040178
80	70	8	0.042535
80	70	9	0.037398
80	70	10	0.036517
80	70	11	0.035850
80	70	12	0.041781
80	70	13	0.039830
80	70	14	0.035999
80	70	15	0.036368
80	70	16	0.037315
80	70	17	0.040341
80	70	18	0.044455
80	70	19	0.038841
